gene	score
ENO1	0.2837895686988024
PGK1	0.28376118277433393
HK2	0.2835865476075929
GAPDH	0.0005329541440666623
TPI1	0.0005200719118676738
H6PD	0.0005184249066594081
HK1	0.0005153563329571917
GPI	0.0005137376195601108
PKM	0.0005120550753278314
G6PD	0.000508170856336891
PFKM	0.0005074857338932896
CS	0.0005054660880027018
TKT	0.0005046175968036357
TALDO1	0.0005028025153387171
HK3	0.0005023471483703925
HKDC1	0.0004995912292275123
TKTL1	0.0004991996423754137
PGK2	0.0004989652393797738
TKTL2	0.0004989590019937068
ALDOA	0.0004985501336351403
PFKL	0.0004981774782374945
PFKP	0.0004974486454986032
IDH1	0.000496962887672544
GCK	0.0004969501058103714
FBP1	0.0004965099424712435
ENO2	0.0004959331876243422
AKT1	0.0004955625359925399
FH	0.0004953825928938719
ENO3	0.0004952135086560671
PKLR	0.0004942856713139527
IDH2	0.0004942276076780746
ACTB	0.0004941494545847979
ACLY	0.0004939126204507438
SLC2A1	0.000492312640420602
PYGL	0.0004922076560882674
ACO2	0.0004915134371647449
PGD	0.0004915063085977185
MDH2	0.0004912328095570481
PC	0.0004912067981420708
TP53	0.0004909517403049015
PYGM	0.0004908153086240172
PGAM1	0.0004897231871014885
HIF1A	0.0004891265823966318
PFKFB3	0.0004885871560671186
PGM2	0.0004879934704747466
MYC	0.00048702213896588815
PYGB	0.00048684820626218036
PGM1	0.0004867118306595928
FBP2	0.0004865294979123754
SORD	0.00048649859176206397
RPIA	0.00048641355097900455
PGAM2	0.0004858749523762227
ALDOC	0.00048531688975908224
ALDOB	0.00048456524262653454
ACO1	0.0004836438728779708
GBE1	0.00048253154075156654
GLUD1	0.0004811879279519183
GALM	0.0004807644055234604
TIGAR	0.0004805123802194035
PGAM4	0.00048045224249281454
PDK1	0.00048036784772452896
PFKFB4	0.0004803606080003435
BPGM	0.0004796356177664601
PCK1	0.00047943596245570737
OGDH	0.0004793186532800594
SLC2A3	0.00047930778397487357
CYCS	0.0004788004446141361
PFKFB1	0.0004787871522393856
PFKFB2	0.000478214298263829
AKR1B1	0.0004774339704442242
CTNNB1	0.00047678683543087827
VDAC1	0.00047580209264110995
GYS1	0.0004757707085125972
GSR	0.0004750495540910921
SLC16A3	0.00047155355678213937
ADPGK	0.00047124237435811967
VDAC2	0.0004699470754809946
SLC16A4	0.00046867011651041766
INS	0.00040642089835088235
SLC2A4	0.00040243316746120175
MTOR	0.00039557032249378654
XYLB	0.00039519557427370166
TREH	0.0003942470173612799
PXDN	0.00039130084292218835
STAT3	0.000391058382753064
PXDNL	0.0003910470484922376
PTEN	0.00039067446647733146
PDK4	0.0003904517713448588
EPAS1	0.0003898644763952977
ANXA5	0.0003885313695548797
ARNT	0.00038807453773064075
PDK2	0.0003869318265610436
FASN	0.0003801372432692076
PGM3	0.00037742164214863246
DERA	0.0003751842826066396
EGFR	0.0003738977840593944
UGP2	0.0003737575543862617
GLYCTK	0.0003680775628241678
G6PC1	0.0003025585945983367
G6PC3	0.0002979780629526532
MPI	0.0002975267958907549
G6PC2	0.0002967101939580411
MGAM	0.0002915941520974032
GFPT1	0.00029155548595639967
PPARGC1A	0.0002914485983806007
SI	0.00029123524204229163
ACSS2	0.00028953696552307546
ACACA	0.0002890705143388289
PPARG	0.00028848190173376317
BCL2	0.0002882854721035944
SIRT1	0.00028821304943887926
SLC2A2	0.00028814477960655244
MGAM2	0.0002873770278421657
GFPT2	0.00028700326719290986
SREBF1	0.00028676838806646304
CASP3	0.00028660568064542733
GSK3B	0.0002864586918422607
ACSS1	0.00028581997114724317
GNPDA1	0.00028549115943587593
SLC1A5	0.00028545350828626764
KHK	0.00028539014687055386
AKR1B10	0.00028495173282420825
KRAS	0.00028461796407750324
GLB1	0.00028402019915828693
GNPDA2	0.0002837140474961127
PMM2	0.00028369460940498586
GLS	0.0002833835535440695
PRKN	0.0002830995138888607
LCT	0.00028306236098488564
PMM1	0.00028286045895271027
GLS2	0.00028217492209053213
RPS6KB1	0.0002821066427846745
CPT1A	0.0002820676527094626
SLC16A1	0.0002818009727003294
BCL2L1	0.0002816344549069225
GCKR	0.0002814016591205676
GNPNAT1	0.00028133684803954595
GAA	0.00028117672248962255
STK11	0.00028085775167193555
BAX	0.0002803731473266175
VDAC3	0.00028025350933830965
SMAD3	0.00027983109640738134
DNM1L	0.000279714994583251
PPIF	0.0002796902440879918
FCSK	0.00027953540735542237
SCO2	0.000279340770958503
GANC	0.00027894210446331003
CCK	0.00027853973043512933
MAVS	0.00027699545487712364
BRCC3	0.000276565906866723
RAB1A	0.0002764480638117863
METTL3	0.0002763528874054744
MED8	0.00027551923856738883
HAND1	0.0002753399768244925
MLXIP	0.0002748777361420128
ZNF211	0.0002747696977310552
GAPDHS	0.00021341613385875136
SDHA	0.00021257982190552333
PDHB	0.0002120643138719327
ATP5F1A	0.0002114561271172708
SHMT2	0.0002107047414984152
ALDH18A1	0.00021002517330885674
GOT2	0.00020946689481725675
DLAT	0.0002092906674420784
HSP90AB1	0.00020846513162586105
DLD	0.00020841859090307542
ENO4	0.00020830213599623906
SDHB	0.00020755299918784619
ALB	0.00020730715846423235
SHMT1	0.00020698330788917652
HSP90AA1	0.0002065749721777237
SUCLG1	0.00020579609090499854
HSPA5	0.0002056686183733911
EEF2	0.0002051299780864654
SOD2	0.00020478085589120982
GART	0.00020423793752391643
LDHAL6A	0.00020418390201230272
HSPA4	0.00020417420659773805
PCK2	0.00020404158773721482
LDHAL6B	0.0002040369476574849
ATP5F1B	0.00020333606636694485
LDHC	0.0002032351557633972
DLST	0.00020314350651890804
HSPA8	0.0002027653118730772
TUFM	0.00020266261590883776
RPE	0.00020263464336058473
GLUL	0.00020240373861002642
GRHPR	0.00020235984038333133
TXN	0.00020172999411294945
PDHA2	0.00020159458930567938
PSAT1	0.00020130340703215406
ATP5F1C	0.00020084123178035923
PHGDH	0.00020082165091539798
HSPD1	0.00020051111081974664
PNMA8B	0.00020038422165351562
HSPE1	0.0002002580565897258
IDH3A	0.00019943449833833212
YWHAZ	0.00019932212631487193
SOD1	0.00019917844311231244
PRDX1	0.00019883287349581948
RPLP0	0.00019876153015167166
RPS3	0.00019853934838083388
SDHC	0.0001984587763100467
PARP6	0.00019799630862653392
PARK7	0.00019798467869255277
PARP8	0.00019788866970316785
MDH1B	0.00019785097808344506
SUCLA2	0.0001977746768041914
ACAA2	0.00019766309400923689
EEF1G	0.0001975577350025999
VCP	0.00019748232313025567
EEF1A1	0.0001974484011569411
ECHS1	0.00019742625579468099
RPS18	0.00019727040071471584
TXNRD1	0.00019706161485373775
PPA1	0.0001969539935926278
PRDX6	0.00019648835292749588
RPS2	0.00019645510071402732
RPSA	0.00019638585893360465
HADHB	0.00019610491145677982
RPL4	0.00019602737902000767
